Requirement ID,Requirement Text,Type,Subtype
SRS_Can_01036,CAN Driver shall support Standard and Extended Identifier.The CAN driver shall be able to operate with both standard and extended CAN Identifiers on one CAN Controller if supported by CAN Hardware.,FR,Configuration
SRS_Can_01037,CAN Driver shall allow static configuration of hardware reception filter.HW supported filtering of receive L-PDUs shall be configurable during initialization phase; reconfiguration during normal operation shall only be possible in STOPPED mode.,FR,Configuration
SRS_Can_01038,"Bit timing of CAN Controller shall be configurable.The Baud Rate of each CAN controller served by the CAN Driver shall be configurable, including propagation delay, Tseg1, Tseg2, Samples/bit, and SJW.",FR,Configuration
SRS_Can_01039,Hardware Object Handles shall be provided for the CAN Interface in the static configuration file. All available hardware object handles shall be defined in the ECU configuration description.,FR,Configuration
SRS_Can_01058,It shall be configurable whether Multiplex Transmission is used. The Multiplexed Transmission feature shall be Pre-Compile-Time configurable and only supported if the underlying CAN Controller supports it.,FR,Configuration
SRS_Can_01062,Each event for each CAN Controller shall be configurable to be detected by polling or by an interrupt. Each possible event shall be Pre-Compile-Time configurable to operate in either Polling or Interrupt-driven mode,FR,Configuration
SRS_Can_01135,"It shall be possible to configure one or several TX Hardware Objects, where each Hardware Object is represented by its own Hardware Object Handle.",FR,Configuration
SRS_Can_01041,The CAN Driver shall implement an interface for initialization. This service shall initialize all module global variables and all Registers of the CAN Hardware Unit and its Controllers. This function shall only be called once during startup.,FR,Initialization
SRS_Can_01042,"The CAN Driver shall support dynamic selection of configuration sets. The driver shall support selection of one static configuration set from a list, passed via the initialization interface; switching is only possible in STOPPED mode.",FR,Initialization
SRS_Can_01043,The CAN Driver shall provide a service to enable/disable interrupts of the CAN Controller. Disabling means disabling all interrupts; enabling means re-enabling all interrupts that were disabled before.,FR,Normal Operation
SRS_Can_01059,The CAN Driver shall guarantee data consistency of received L-PDUs. The driver shall guarantee that the data inside a Hardware Object is not overwritten while it is copied.,FR,Normal Operation
SRS_Can_01045,"The CAN Driver shall offer a reception indication service. The CAN Driver shall notify the CAN Interface about a successful reception via a static callback function, including CAN Identifier, DLC, Hardware Object, and pointer to SDU data.",FR,Normal Operation
SRS_Can_01049,"The CAN Driver shall provide a dynamic transmission request service. The API shall accept CAN Hardware Object Handle, pointer to L-SDU source, CAN Identifier, and DLC as parameters.",FR,Normal Operation
SRS_Can_01051,The CAN Driver shall provide a transmission confirmation service. The driver shall notify the CAN Interface about a successful transmission (at least one receiver acknowledged and no error disturbed the frame) via a static callback function.,FR,Normal Operation
